starname,mag3_6,mag4_5,mag5_8,mag8_0,mag24
2dFS3703,16.444,16.327,99.999,99.999,99.999
2dFS3705,15.439,15.159,99.999,99.999,99.999
2dFS3706,17.061,99.999,99.999,99.999,99.999
2dFS3707,14.816,14.591,99.999,99.999,99.999
2dFS3708,13.83,13.57,13.258,13.108,99.999
2dFS3709,16.266,16.234,99.999,99.999,99.999
2dFS3710,16.553,16.352,99.999,99.999,99.999
2dFS3713,15.754,15.707,99.999,99.999,99.999
2dFS3714,15.505,15.468,99.999,99.999,99.999
2dFS3715,16.733,16.848,99.999,99.999,99.999
2dFS3716,14.597,14.358,13.988,99.999,99.999
2dFS3718,16.595,16.648,99.999,99.999,99.999
2dFS3719,17.004,16.838,99.999,99.999,99.999
2dFS3721,16.779,16.722,99.999,99.999,99.999
2dFS3724,14.643,14.699,99.999,99.999,99.999
2dFS3726,16.498,16.45,99.999,99.999,99.999
2dFS3727,15.336,15.165,14.615,99.999,99.999
2dFS3729,16.422,16.408,99.999,99.999,99.999
2dFS3730,16.307,16.156,99.999,99.999,99.999
2dFS3731,15.942,15.97,99.999,99.999,99.999
2dFS3736,17.253,99.999,99.999,99.999,99.999
2dFS3737,16.609,16.356,99.999,99.999,99.999
2dFS3741,13.903,13.641,13.495,13.076,99.999
2dFS3743,16.659,16.593,99.999,99.999,99.999
2dFS3745,16.514,16.589,99.999,99.999,99.999
2dFS3747,13.935,13.829,13.702,13.427,99.999
2dFS3748,16.661,16.59,99.999,99.999,99.999
2dFS3749,16.206,15.981,99.999,99.999,99.999
2dFS3750,16.358,16.387,99.999,99.999,99.999
2dFS3751,16.435,16.281,99.999,99.999,99.999
2dFS3752,16.827,99.999,99.999,99.999,99.999
2dFS3757,16.759,16.486,99.999,99.999,99.999
2dFS3758,15.244,14.959,14.539,99.999,99.999
2dFS3759,16.052,16.02,99.999,99.999,99.999
2dFS3761,15.812,15.599,99.999,99.999,99.999
2dFS3763,16.758,16.817,99.999,99.999,99.999
2dFS3764,15.476,15.551,99.999,99.999,99.999
2dFS3765,16.986,16.874,99.999,99.999,99.999
2dFS3769,14.269,14.019,13.86,13.587,99.999
2dFS3772,16.678,99.999,99.999,99.999,99.999
2dFS3776,17.627,99.999,99.999,99.999,99.999
2dFS3777,16.234,16.158,99.999,99.999,99.999
2dFS3779,99.999,16.037,99.999,99.999,99.999
2dFS3781,14.573,14.446,14.168,99.999,99.999
2dFS3784,17.366,99.999,99.999,99.999,99.999
2dFS3787,16.59,16.346,99.999,99.999,99.999
2dFS3789,15.622,15.357,99.999,99.999,99.999
2dFS3790,16.178,99.999,99.999,99.999,99.999
2dFS3792,15.365,15.443,99.999,99.999,99.999
2dFS3793,16.887,16.605,99.999,99.999,99.999
2dFS3794,17.217,99.999,99.999,99.999,99.999
2dFS3795,15.969,16.036,99.999,99.999,99.999
2dFS3796,16.836,16.603,99.999,99.999,99.999
2dFS3797,16.072,16.142,99.999,99.999,99.999
2dFS3798,16.44,16.27,99.999,99.999,99.999
2dFS3799,16.905,16.817,99.999,99.999,99.999
2dFS3800,16.443,16.386,99.999,99.999,99.999
2dFS3802,16.517,16.637,99.999,99.999,99.999
2dFS3806,16.774,99.999,99.999,99.999,99.999
2dFS3808,17.003,99.999,99.999,99.999,99.999
2dFS3809,17.202,99.999,99.999,99.999,99.999
2dFS3810,13.255,13.251,13.245,13.27,99.999
2dFS3811,16.517,16.69,99.999,99.999,99.999
2dFS3812,16.476,16.449,99.999,99.999,99.999
2dFS3815,16.491,16.439,99.999,99.999,99.999
