IDs,mag3_6,mag4_4,mag5_8,mag8_0,mag24
SSTISAGEMA J004521.56-731042.5  ,16.2851331830226,12.748727679851,14.2712883343678,12.748727679851,9.49026883907987
SSTISAGEMA J004522.94-730423.8  ,15.9509147058072,11.8588355926552,13.9163580934366,11.8588355926552,8.14156505013445
SSTISAGEMA J004523.99-730343.6  ,16.6491915285756,12.8282072297705,14.3937544302878,12.8282072297705,9.5641275662592
SSTISAGEMA J004524.08-731112.1  ,16.0479198959284,12.430012821272,14.0534128427757,12.430012821272,9.69046211803427
SSTISAGEMA J004524.46-731238.8  ,13.9366253159673,9.50006837322713,12.2483245595918,9.50006837322713,6.89935919382381
SSTISAGEMA J004525.75-732252.9  ,12.5156111697563,9.79299876462375,11.3040543419317,9.79299876462375,4.45170654102415
SSTISAGEMA J004526.02-732402.3  ,15.914415928096,12.3728149142986,13.8009209049549,12.3728149142986,7.55345860380364
SSTISAGEMA J004529.85-732136.7  ,14.3460859110036,11.1865569018441,12.4905996590584,11.1865569018441,5.29370453325508
SSTM1SAGE1 J004530.17-731241.1  ,12.802318000037,8.77804509609464,10.3424224586175,8.77804509609464,4.30407893395973
SSTISAGEMA J004530.81-730455.6  ,12.8777440989563,10.2276447805307,11.6744068162892,10.2276447805307,4.18267358590771
SSTISAGEMA J004534.61-731834.5  ,14.4365243448375,10.4466807746673,12.2408624330548,10.4466807746673,4.66432566743986
SSTISAGEMA J004536.02-731035.3  ,15.2265422299351,11.4415307658933,13.0688768302249,11.4415307658933,7.61321491508067
SSTISAGEMA J004536.96-725130.4  ,16.9527469400323,13.3843572141279,14.4434915196876,13.3843572141279,10.2180944956997
SSTISAGEMA J004538.39-730438.6  ,13.9571391580094,10.0022031486546,11.4735153092443,10.0022031486546,4.38034104471261
SSTISAGEMA J004543.00-731726.1  ,14.3914665610957,10.6178865029734,12.1014744026154,10.6178865029734,6.05046123785171
SSTISAGEMA J004544.56-732734.7  ,15.5325581938626,11.6142330585009,13.2697035521837,11.6142330585009,8.50436907956107
SSTISAGEMA J004547.53-732142.1  ,12.3152687891136,9.30175354008063,10.3698613011996,9.30175354008063,5.20281641542605
SSTISAGEMA J004551.24-732152.0  ,15.703086012014,11.9855600681886,13.2774038571006,11.9855600681886,7.6656245229675
SSTISAGEMA J004555.06-732409.9  ,13.5787960395816,10.5289125294611,12.6670523119558,10.5289125294611,7.55648939193229
SSTISAGEMA J004557.58-735959.9  ,16.9411347403413,12.1763687154329,13.7977965222593,12.1763687154329,8.43081309377986
SSTISAGEMA J004605.64-732259.1  ,14.5201757395843,10.5825749304738,12.1346799011575,10.5825749304738,5.56223043186962
SSTISAGEMA J004605.96-731541.5  ,16.6634076322566,12.7423596627928,14.3006343297408,12.7423596627928,9.40732422517636
SSTISAGEMA J004608.39-733219.1  ,18.0452569855535,13.4232767362003,14.6971356659341,13.4232767362003,8.47308205228783
SSTISAGEMA J004610.27-732147.3  ,14.865311586302,11.1715118325336,12.3585664091693,11.1715118325336,7.50075842869276
SSTISAGEMA J004610.61-704717.7  ,18.5378199311236,12.9090214144608,14.8099432264512,12.9090214144608,8.69128775574312
