SourceName,mag3_6,dmag3_6,mag4_5,dmag4_5,mag5_8,dmag5_8,mag8_0,dmag8_0,mag24,dmag24
N80_J010833.63-715853.5,14.7069997787,0.0549999997,14.0989999771,0.0410000011,13.1479997635,0.0549999997,11.9750003815,0.0989999995,99.999,99.999
N83-N84_J011333.07-731550.9,17.4650001526,0.1030000001,17.2700004578,0.1180000007,15.2010002136,0.1389999986,13.9040002823,0.1870000064,99.999,99.999
N83-N84_J011333.44-731542.4,16.702999115,0.0839999989,16.6100006104,0.0890000015,14.0609998703,0.1309999973,12.5240001678,0.1369999945,8.847,0.02821
N83-N84_J011334.78-731637.0,17.3589992523,0.1379999965,17.5799999237,0.1809999943,15.0780000687,0.1949999928,13.4350004196,0.1599999964,99.999,99.999
N83-N84_J011337.04-731757.7,14.5279998779,0.0299999993,14.6120004654,0.0729999989,12.5780000687,0.0350000001,11.3500003815,0.0350000001,8.176,0.0262
N83-N84_J011338.64-731721.9,14.109000206,0.0320000015,12.9479999542,0.0199999996,11.6180000305,0.0209999997,10.2810001373,0.0209999997,5.506,0.01236
N83-N84_J011343.13-731724.7,16.1000003815,0.0820000023,16.3799991608,0.1180000007,13.4200000763,0.061999999,11.9040002823,0.0439999998,99.999,99.999
N83-N84_J011343.85-732029.1,16.4470005035,0.123999998,16.6730003357,0.1049999967,13.9409999847,0.0920000002,12.3459997177,0.1180000007,10.04,0.07603
N83-N84_J011346.20-731815.4,15.5389995575,0.1059999987,15.5629997253,0.2129999995,13.0500001907,0.1049999967,11.4479999542,0.0529999994,99.999,99.999
N83-N84_J011346.54-731713.2,99.9990005493,99.9990005493,15.3520002365,0.0820000023,13.2060003281,0.1120000035,11.829000473,0.0829999968,99.999,99.999
N83-N84_J011347.60-731710.1,14.7189998627,0.0460000001,14.6809997559,0.0410000011,12.1619997025,0.0309999995,10.6859998703,0.0340000018,99.999,99.999
N83-N84_J011348.68-731707.1,15.6739997864,0.0689999983,15.5329999924,0.0839999989,13.0190000534,0.0869999975,11.8470001221,0.0579999983,5.183,0.01013
N83-N84_J011349.63-731537.9,99.9990005493,99.9990005493,14.6630001068,0.0379999988,13.1059999466,0.0939999968,11.4809999466,0.0850000009,99.999,99.999
N83-N84_J011349.98-731757.5,99.9990005493,99.9990005493,11.5279998779,0.075000003,10.154999733,0.0199999996,8.9099998474,0.0270000007,3.286,0.006072
